m/z meas.,RT [min],Area (Max.),Area: B6_1_ML_polar_HILIC_neg_01.raw (F1),Area: B6_2_ML_polar_HILIC_neg_01.raw (F2),Area: B6_3_ML_polar_HILIC_neg_01.raw (F3),Area: B6_4_ML_polar_HILIC_neg_01.raw (F4),Area: FVB_1_ML_polar_HILIC_neg_01.raw (F7),Area: FVB_2_ML_polar_HILIC_neg_01.raw (F8),Area: FVB_3_ML_polar_HILIC_neg_01.raw (F9),Area: FVB_4_ML_polar_HILIC_neg_01.raw (F10)
388.10472,0.594,2058433.97621378,150155.884746655,71373.8504550919,123301.949830913,109726.237983898,96609.0557289172,137171.82826799,91395.5693806048,86309.2078351374
576.0775,0.637,5679260.43785896,414412.807409031,205936.038108226,188555.82658799,221788.895992265,204751.320975635,447247.204094278,244417.67572681,179253.541592656
280.00211,0.899,6848853.54295807,643542.405410268,421538.729119193,370830.377854228,449970.308836992,410671.699752395,461303.568250436,427239.165784101,384180.668416042
217.02201,0.946,6112531.80302874,3006778.51635805,2801417.56949658,5408984.01447168,6112531.80302874,3706324.95759345,3019477.51926431,4941933.97201531,4858269.86083093
307.06524,2.497,13712255.1705187,3804230.09163592,6820647.39263722,9079395.71920245,11061568.8504455,6433912.13667945,6898722.29180247,8948284.70444356,13712255.1705187
804.20526,0.591,13807964.068133,1195426.78366926,503792.52451848,539629.738043143,508431.182830983,486023.289466447,788901.274826243,537837.766486154,524387.626105503
878.22402,0.589,14324494.5789884,1086293.08600349,456145.892996882,468574.507834452,459342.18618552,406834.573752882,651450.245509609,531010.333324003,474519.861716875
316.84056,4.782,15496870.5577493,15496870.5577493,10622496.9321341,5103522.83573976,8698745.59791151,9091081.72356055,10600178.1942503,7905473.41277015,7821394.98458091
217.95125,1.886,16680082.2595652,3398578.17192846,4346240.62864329,13535175.0928116,16680082.2595652,6002277.44082972,5422642.68450532,7977333.12213378,7808909.79826558
513.27598,4.004,16707899.2629015,2898020.37539227,2021271.40221272,2354423.82177859,1663824.35419661,6130633.20796425,2944206.90894895,5987752.88385719,16707899.2629015
306.22288,0.837,17111835.1965276,17111835.1965276,2252652.35477705,3151179.03451613,32036.1467890538,3940752.13559049,5790883.92003238,205907.133939702,5990049.20440298
303.07346,2.458,18376991.8256338,5008454.63993205,3701157.26881869,10591531.9967013,11368988.3913468,18376991.8256338,4690213.52753791,4395859.04442743,14888309.1416044
952.24296,0.587,12946166.2732842,922146.011862775,349097.878802973,449022.156558555,396388.38870266,358802.309846326,583404.845163355,431302.782583563,423199.00429721
216.03947,6.613,27564047.4492358,8914377.51718522,11258371.5753902,19741718.2023506,21372708.7890414,14511813.8166637,11810164.8193058,14027329.8907597,27564047.4492358
279.98862,6.624,23386149.9760567,11881811.9940725,13541034.3349046,20583795.5641357,23386149.9760567,16094994.0254126,13055393.7040422,17947941.6541643,22622788.6814281
513.27606,2.641,24051971.3840072,4639406.8241897,4090582.28367734,3417581.49290147,9232679.28543435,21756426.7721423,5134567.56246114,9617075.21011792,24051971.3840072
187.052,0.622,25071304.0701133,25071304.0701133,14485463.9600841,19206478.7932485,16000850.1756831,22990743.3555545,12221566.7557497,21612045.474255,19074456.758134
292.20732,0.85,27655410.5122844,27655410.5122844,4172671.64572707,5616369.13329343,69186.9362260202,6623012.74486117,8261762.17734016,477216.377381299,10957309.2257374
118.02516,1.882,43143778.3485562,9767131.61948713,13659023.2849071,36382755.6006875,43143778.3485562,18643626.5509267,16121996.7185985,23130857.1419998,21118806.7157762
278.1915,0.868,44508527.2041536,44508527.2041536,6789730.82143716,7575540.80543786,143323.164030048,9248700.96991005,13473566.6296813,710198.028429426,13291851.5816402
515.29164,3.834,90401688.5107785,12196824.7502224,10887315.3149698,32313794.4702465,28014017.6762415,90401688.5107785,17898178.4173051,34315698.4719402,74059594.3055614
188.04831,0.622,101299539.227731,101299539.227731,58088396.1536877,75319271.8081545,64212460.1088011,95477778.4593345,49787906.8049686,86399625.839678,73124583.1215763
