m/z meas.,RT [min],Area (Max.),Area: B6_1_ML_polar_HILIC_pos_01.raw (F1),Area: B6_2_ML_polar_HILIC_pos_01.raw (F2),Area: B6_3_ML_polar_HILIC_pos_01.raw (F3),Area: B6_4_ML_polar_HILIC_pos_01.raw (F4),Area: FVB_1_ML_polar_HILIC_pos_01.raw (F7),Area: FVB_2_ML_polar_HILIC_pos_01.raw (F8),Area: FVB_3_ML_polar_HILIC_pos_01.raw (F9),Area: FVB_4_ML_polar_HILIC_pos_01.raw (F10)
131.0947,0.792,1744250.3252501,1744250.3252501,420079.688414729,507659.44881614,561537.22855788,360446.02147551,488703.457816669,509445.085569225,460449.57822069
160.06361,0.841,15627704.1462393,15627704.1462393,5936037.8999236,5657942.43951163,2868812.25312418,6961829.26050322,3967423.80219952,3988683.73033249,7943962.63279795
515.29172,3.802,56810132.3150547,7871917.36826917,7503929.08954821,21158550.611012,18018420.0800021,56810132.3150547,13543224.5737622,21665006.4073931,41302711.0168687
117.11558,4.104,5963792.47196758,3988037.19364897,5179349.99991571,5795914.92548871,2371105.81515143,4605146.34730357,5496489.49876708,3927545.9808282,5963792.47196758
190.13574,0.635,18743753.9453032,3539924.10603658,7366086.00213859,3667191.41474691,8410107.87294727,7075337.34300353,15323367.2632021,18743753.9453032,5261515.80354118
519.33261,5.109,1767988.13278798,77097.8806464097,976638.379859052,1661698.25977094,1527734.20913748,1767988.13278798,1152850.9821804,980115.448021717,1016512.78319822
274.21422,0.653,3195487.77482636,3195487.77482636,684203.33668103,478642.398378521,466759.315449814,281061.616216437,477640.150537796,387427.487705856,331825.895780126
199.15715,0.644,3088402.6788014,455173.582858269,1363775.30524277,547913.447331654,1725195.48564735,1264677.77004779,2760726.01883276,2744463.03144446,948471.71035468
280.16738,0.925,513097.421954664,100979.244954614,93559.8412993511,171946.473424284,122711.557786462,513097.421954664,63168.0355818708,180543.164278325,347725.464952891
281.27165,0.644,1728101.33751924,210018.623765914,830381.987514181,266691.045341765,448971.623897991,529056.638950414,1676003.03365557,1728101.33751924,282284.176429998
383.31847,0.61,27597756.6262225,10020649.1240972,12023351.5509569,10291800.6365237,11572993.2052205,6973421.96095455,21401928.0759141,27597756.6262225,14964025.2422424
228.1724,0.63,2923027.82915553,1023885.13823442,1199321.49835589,695202.147639183,1332338.61192167,1197664.68164584,2494118.26097407,2923027.82915553,1003022.89610256
169.14663,0.633,1493982.80994123,468823.145719908,622755.652011332,314164.27029974,635859.05338082,575411.46240784,1313595.90121463,1493982.80994123,414864.912946822
157.08911,0.86,1718709.17055597,1718709.17055597,711695.475784363,586589.679898603,488182.986211667,716936.28953941,609087.727803099,606203.367870219,543753.743325852
307.27196,0.643,1596890.20210882,1596890.20210882,637238.292365861,584603.007866379,129848.249402138,579318.459786501,554539.014889074,141552.74885963,756273.978612383
