m/z meas.,RT [min],Area: B6_1_ML_polar_RP_pos_01.raw (F1),Area: B6_2_ML_polar_RP_pos_01.raw (F2),Area: B6_3_ML_polar_RP_pos_01.raw (F3),Area: B6_14_ML_polar_RP_pos_01.raw (F4),Area: B6_15_ML_polar_RP_pos_01.raw (F5),Area: B6_16_ML_polar_RP_pos_01.raw (F6),Area: B6_26_ML_polar_RP_pos_01.raw (F7),Area: B6_27_ML_polar_RP_pos_01.raw (F8),Area: B6_28_ML_polar_RP_pos_01.raw (F9),Area: B6_32_ML_polar_RP_pos_01.raw (F10),Area: B6_33_ML_polar_RP_pos_01.raw (F11),Area: B6_34_ML_polar_RP_pos_01.raw (F12),Area: FVB_4_ML_polar_RP_pos_01.raw (F14),Area: FVB_5_ML_polar_RP_pos_01.raw (F15),Area: FVB_6_ML_polar_RP_pos_01.raw (F16),Area: FVB_17_ML_polar_RP_pos_01.raw (F17),Area: FVB_18_ML_polar_RP_pos_01.raw (F18),Area: FVB_19_ML_polar_RP_pos_01.raw (F19),Area: FVB_29_ML_polar_RP_pos_01.raw (F20),Area: FVB_30_ML_polar_RP_pos_01.raw (F21),Area: FVB_31_ML_polar_RP_pos_01.raw (F22),Area: FVB_35_ML_polar_RP_pos_01.raw (F23),Area: FVB_36_ML_polar_RP_pos_01.raw (F24),Area: FVB_37_ML_polar_RP_pos_01.raw (F25)
138.04285,2.787,5816078.10981673,4944066.27441037,15100266.8964414,2315288.94069626,7328867.43223656,2503433.92047656,3757606.78342423,4422039.2492506,4208589.23531671,3471070.75676081,8966350.90083447,3780535.52133626,2617903.38179641,3557851.31808537,3113909.55602248,6935672.78593982,1966257.6319524,2408523.44107863,3233726.40415883,3081984.90860438,4261366.78413369,5801606.02543972,4297634.46538413,2616740.88568225
112.02759,2.847,7131929.5426809,6621078.57148738,5811413.8457499,8030666.38460895,6262472.2298891,6224695.53484876,8332893.18724879,6248441.03971098,6806673.39232536,10134888.6744452,9890298.98837641,9206709.22482829,6650584.32568568,5261096.48103472,7440876.90209391,6253591.69396451,7868503.8107708,8516388.02387026,6582969.89932877,11631318.4985486,6549120.29620655,6709692.09360078,9922469.86177808,5762047.59932942
112.02749,3.203,4233911.00624092,3574397.21333283,3440367.66886903,3685924.59600902,3473043.04241529,3290949.15428677,5003353.03480664,5122944.79775921,3356713.64161207,4073895.34074221,5324108.75619589,4213188.05994724,2936525.06166325,2914301.623279,4407415.80717548,2562708.63946797,3071566.56945595,2936178.97430819,3174641.15881191,4748822.65354436,3610443.6011449,3029290.68221715,4063156.56615957,4026129.95835895
357.17864,2.87,3539873.92250735,3411661.23307167,3914410.77119485,2940920.10036246,2605116.27678223,4258939.99587005,1812018.55920374,1274298.18128171,1048328.2940581,1372363.21072612,1618157.18011585,1708640.39341057,3361412.49689932,4217845.18585134,4303938.94617539,3264559.2098617,2647814.04198172,2742627.74829083,1183442.62545232,1722702.82926658,2464537.4492918,1173831.17003822,1394550.5134411,1204246.02988289
278.12654,3.41,1854025.46599206,1353344.25432457,1252635.22890504,1303194.86291474,1264431.47915996,1457482.78479684,15373846.0327548,9096090.76326706,8454746.7964411,9486347.43208397,11633310.3432642,8890374.49506385,1909660.17933269,586923.361095259,1831205.2404774,675938.235566445,799814.475592277,800543.996180254,7260071.04519548,14017494.0478129,4452425.88455109,5926031.1515208,5701567.90632363,8807496.32258128
294.12167,3.526,301489.536085662,215704.550741879,295395.240133978,334725.453747323,202702.997343878,312881.777661937,8356634.58501237,4116249.04965477,3928588.99194105,4650158.57744599,6167520.42473636,4475606.88442602,368009.605296041,186366.762946617,293301.747305668,253533.869871157,250517.3353831,269839.625138773,3973083.61795095,9334067.30440053,2103859.06881281,4217836.64184446,4702234.33079808,4037807.75630478
274.18905,0.842,228197.660605732,232741.428662089,198238.074151996,272447.842713051,258804.198669678,220609.428994099,2507016.93569743,2058239.27061806,2171578.74903517,2927143.38237578,1746319.28008768,3787501.70997437,736388.938805001,710952.34588112,262778.721584907,268238.023835819,263241.876487526,457487.503598072,1239379.4768875,2514782.5001681,3719028.81569507,3555277.02162184,4443421.72136872,3042968.68854652
284.14846,2.66,2098376.23215276,1078157.34839602,1571906.51937322,1696799.47394998,1320375.77636476,1110358.54742741,9756043.41008678,5601332.86765645,6204131.15161937,6953512.68168331,6785240.91407295,4532180.05846568,1417072.37759374,633772.811760643,1515971.45899647,854480.109904838,1171468.91252837,1217031.3188228,5092759.13921974,8042824.6971198,3153698.12318516,4202106.56281505,5427647.0029839,4446259.53483499
143.05831,2.732,6521261.44193914,3364155.57224839,3773609.09470197,1657718.75596553,3523675.00806224,8023390.6423777,9075583.39558543,7125859.50788764,6995691.03220956,6747290.25906828,7448342.75819571,5665482.27739243,2534760.83346967,1289458.02998513,6938481.63180753,2469180.17094764,4541144.80883739,1645556.67919664,5071897.25512261,7301856.91052757,9177284.69364899,4684426.35908993,4152501.30260149,4886019.58036362
137.0477,1.022,849519894.686221,569797937.565176,496689467.777022,667957954.656021,873151155.820032,578434441.131686,779374238.840799,760469403.325684,726261903.749096,1057813524.57728,778222963.253003,778908249.422301,961111934.803246,373679748.638437,534986890.647318,486198305.986662,408772672.740823,444819834.810138,644725605.069549,1098549483.10651,822303346.930429,591264989.009682,783442071.401287,818153596.709277
182.07088,3.438,24544364.394543,26028773.1431965,26889846.2402685,27955966.3063738,28463448.6806292,25080916.8725656,21214225.0600651,25221618.4440319,25487257.102096,24138620.3730978,24463340.1240104,26545758.8655848,27153603.0144412,30119830.6053391,25062221.4136231,24039501.3775033,25140412.3207223,28656999.7112126,24476210.8312715,25545579.7281888,27016906.3722688,24342627.7450936,22397861.2089482,22486384.3310677
139.07457,1.121,18010284.7869654,9721008.24110165,11300460.5745251,11208948.8414605,15193056.465755,12520420.5065953,22931830.8753284,30899874.0287916,23530705.8855748,34450925.8600883,23277620.3156178,52957599.1673507,9348510.39591886,9385777.69270731,15806815.919514,12172390.4475228,11346330.4360773,20671402.7861013,22695862.1457434,13877313.4698334,18635249.7521447,19485920.642101,32684652.2453189,19917330.9652685
243.14719,2.984,158559.699257444,129135.079523734,162468.251069888,226686.842351762,117728.098362065,181584.252547777,1301810.82708512,1396322.07177566,1099612.92651937,1593294.1096323,1350678.17645899,1465979.98639036,262624.119344687,299021.168951044,204503.225175056,314673.796761548,417158.980495506,290074.619740609,1317997.13087813,1376678.60081484,1472495.05058902,809099.519685318,1436510.55005217,987923.786936932
146.0401,0.987,1840341.68955884,5063514.44749787,7895478.33295528,2598023.91956358,1570282.08049805,1964982.78162634,1965966.95795187,2148469.56031423,4096070.56928148,1416212.58091722,2598400.2273161,1422278.70107636,3311741.22784916,7522568.01643852,4467760.94059224,4803017.66815978,1426902.0300489,1920530.34663426,1985672.40555473,2177997.76611614,1828044.53941541,1924876.22473658,2690805.98669058,2040110.77942576
344.07061,2.402,96276104.6809593,109342870.28302,139189998.262348,101108285.570667,85870911.997095,119569204.809719,94587348.5679849,80203935.7403918,73245694.1208243,90528172.8112983,105794920.45999,89680142.1478824,93546081.9856924,126728794.944648,127380740.43627,113665453.959894,127769590.508942,104470125.893387,37767198.7215885,88161071.4062677,86607861.2839887,60319117.8557866,86413651.3145582,71856130.8989624
264.10445,2.336,13822284.5907758,14141453.206416,25163784.6211163,18504764.3515153,15364171.6843271,19195234.0038119,15386636.7732145,16683852.9978799,24138948.2657407,34707608.23858,20491247.3674395,25231098.6696562,15400586.5191163,24883117.750112,17862551.4144556,27550532.0094941,24002097.5585098,29532740.5134977,16466022.2586453,20952574.6237349,13061441.1742524,16947991.2202951,28984252.3058775,21857336.8495673
216.11091,0.884,4203171.62582236,860319.766489624,1248376.14042816,2455803.32980078,671406.10582236,4421817.36051609,1291130.04908886,806748.99264913,901112.691693907,3549202.95737323,1362712.6724319,4194739.58633592,498163.285752831,1632926.05774264,1369107.65330072,2282165.24164999,7125525.93301234,10747615.8033681,1519079.2905029,1016416.98390622,370182.474382347,760250.827400438,2008433.06944471,1199550.17304954
243.16232,3.356,6616054.58163887,7775376.89444328,7472062.23786506,6459219.44903531,7903877.90992949,6457285.862866,6166897.38803424,7182322.26518202,6324035.78184599,4308370.57784559,4410405.1548832,6927395.24452965,7902786.85996445,7024555.81980885,7533831.52909208,6665871.71939095,7171735.13144976,7770913.25435891,7564450.09995483,6574008.95832228,6777510.07785072,6686869.63830102,6104939.99850558,6917369.10061377
197.03587,0.88,4769681.35189445,5742979.31470004,3878314.88429208,6623641.56963918,13818565.0199689,2775347.87195974,6607469.92116054,6879914.36443464,8616516.94861742,1353403.98091608,6206632.22186711,1011441.62600888,3730189.76585158,7841622.90691741,6519243.78076477,8758878.11589003,1037771.35838195,1772863.72887988,6056111.08213327,5139169.79871117,5250433.59810022,6551021.70719769,3292898.58882581,6663730.24354686
125.01481,0.783,662468674.528202,1105369059.9686,432474887.08623,362833719.795645,696260272.782364,107200394.949597,435239599.510177,553489713.589347,536882333.134435,356922446.737744,460973878.999925,300942919.064406,863456344.009241,530044358.605808,680416543.009307,429060168.61517,332665564.871808,269063473.085863,671560547.203038,439908341.47446,617992514.729263,554036307.450121,535011176.156387,631731095.066958
125.01485,13.812,11044504.0700414,16752513.0046947,10508980.7448949,10540942.4985188,9403725.14307614,10015131.0805019,8779127.69729526,12785570.7541371,25296041.4878542,11334274.1226944,13351123.3112617,10400393.4354151,10452684.0011851,9600571.27761804,10167705.8983603,14171444.6523867,14268466.7702222,16381870.0254699,10613691.4213933,13852886.8130508,9471970.94450379,12954712.8808302,8578267.88319759,16600199.680248
224.11614,0.907,3158676.2730271,2474140.92432935,4617803.33436516,2037704.04919974,1771936.97890045,2429653.13134027,986391.606871247,938137.860765963,1442291.61908545,943020.952418132,1040521.36849042,302847.996924151,2455332.42286829,1396934.6137303,2882035.24649807,2020539.21744464,1579723.80035506,1608563.85032998,645009.679586014,1321206.57438648,458126.36461453,492699.374078038,661020.626195465,507075.819346696
233.03584,2.881,312059.212912374,89459.4215877023,88405.8244898477,351708.477728393,1001774.8319333,127744.256470582,2253870.92822947,2793838.09751172,782500.295031884,929793.187449991,905493.013380954,268935.124324257,86913.235461099,108492.316385428,105829.392407193,152400.811638929,159436.265576333,167742.405356962,1346604.43836518,2637974.47931303,2557380.73316157,726253.398323531,1227300.17098548,1627325.39597949
383.10743,3.959,178333030.325871,101544662.300453,286882881.195592,69787588.4068421,54542686.9027895,159771171.799851,49787272.0642593,47954074.8350731,44094466.6364518,60702567.888999,68960987.0488751,49106410.2832548,84153299.3928074,270296833.342505,167720474.618844,77748075.1377779,124379097.377037,100469751.802089,30799109.0627304,52153975.3976888,46503308.2995817,30942227.8627173,64587459.0222745,22903308.8541629
215.07941,2.801,1198958.2475516,481632.14153343,517518.962676048,1240667.57835618,353417.358427441,648136.066724883,3314981.1922159,2498534.19215095,3907124.06660185,2627221.12251113,2404201.06492473,3359799.39777036,1742566.13960454,858257.765448345,847870.624151626,377455.540866476,1789939.55792034,1601281.43735828,1235928.26995608,1169195.05521276,2595864.09770766,2328703.06829379,3257324.89882173,3752755.12376705
258.06191,0.73,8980166.45201248,2522260.11434355,4436759.90608036,7512904.61800341,5598069.6561138,8032377.6791391,7712464.74804427,6893283.84544606,9204200.65966682,18236645.3091184,8041231.62803052,26499890.982279,4643183.33728887,4735946.31870808,4520839.40006283,7150336.89244342,15904360.2280822,17956749.5042334,9483317.82769031,8373520.22764126,5155807.5552428,8145850.9883102,7513891.99610738,5878291.64230485
145.15802,13.94,1990549.10977804,7594024.66063246,11476989.8360694,8709969.3392667,3453262.04659482,4969982.70928611,6253108.44285557,4392413.58811207,6920352.90887966,4246252.49210123,6397188.69996302,4065843.87426176,8306078.95281574,10451924.325156,5739861.91364503,5579787.08704572,5050015.33296627,4140136.02207082,4281559.38881338,4787529.80033682,9995358.5420323,3458983.122122,4617356.29555086,4982835.7757455
