m/z meas.,RT [min],Area: B6_1_ML_polar_HILIC_neg_01.raw (F1),Area: B6_2_ML_polar_HILIC_neg_01.raw (F2),Area: B6_3_ML_polar_HILIC_neg_01.raw (F3),Area: B6_14_ML_polar_HILIC_neg_01.raw (F4),Area: B6_15_ML_polar_HILIC_neg_01.raw (F5),Area: B6_16_ML_polar_HILIC_neg_01.raw (F6),Area: B6_26_ML_polar_HILIC_neg_01.raw (F7),Area: B6_27_ML_polar_HILIC_neg_01.raw (F8),Area: B6_28_ML_polar_HILIC_neg_01.raw (F9),Area: B6_32_ML_polar_HILIC_neg_01.raw (F10),Area: B6_33_ML_polar_HILIC_neg_01.raw (F11),Area: B6_34_ML_polar_HILIC_neg_01.raw (F12),Area: FVB_4_ML_polar_HILIC_neg_01.raw (F14),Area: FVB_5_ML_polar_HILIC_neg_01.raw (F15),Area: FVB_6_ML_polar_HILIC_neg_01.raw (F16),Area: FVB_17_ML_polar_HILIC_neg_01.raw (F17),Area: FVB_18_ML_polar_HILIC_neg_01.raw (F18),Area: FVB_19_ML_polar_HILIC_neg_01.raw (F19),Area: FVB_29_ML_polar_HILIC_neg_01.raw (F20),Area: FVB_30_ML_polar_HILIC_neg_01.raw (F21),Area: FVB_31_ML_polar_HILIC_neg_01.raw (F22),Area: FVB_35_ML_polar_HILIC_neg_01.raw (F23),Area: FVB_36_ML_polar_HILIC_neg_01.raw (F24),Area: FVB_37_ML_polar_HILIC_neg_01.raw (F25)
213.00903,0.732,1252855.1709356,331241.065098456,498364.957276236,1378996.11503587,819407.196092403,1221614.08587227,348181.494313379,655635.690745699,974898.615826685,496638.241917909,181649.924106234,455617.177144626,770463.699282176,503349.558319184,755503.22209089,522046.978801298,1285458.18563878,1551753.48150043,540119.289141178,382533.042678309,143499.532855753,474546.646679071,172531.676907512,343756.760589846
298.05443,0.637,240100.553654941,230297.027209727,671817.378784673,390956.69335661,539245.616196476,216381.991741409,157857.714576477,198575.935007604,291160.21184942,297816.060682029,223077.266605925,216657.798343372,388332.374282515,762323.002905757,472655.640330344,197788.536539928,196947.767274916,209567.851816744,357153.67372666,385672.261768367,250697.937504313,320599.624745874,177112.748623246,267457.327399188
166.04704,0.588,1028742.34299269,708593.008007868,1127746.00034645,1313644.25335452,1087143.93370893,915189.624153017,545932.500707056,701137.408126163,1303846.5492824,788579.010457576,747059.202195291,1015927.82849003,826012.298532353,1238787.41061675,888008.147466001,775325.21245482,996364.686734348,804292.60095243,867987.436702419,927395.230432973,838253.258718934,911377.535052929,904692.345860622,989174.402533158
240.07429,0.588,49941201.7932332,92673859.357099,96600208.6301863,92788920.3194241,92521560.4368899,87827052.7581316,101891796.609289,89450970.4587268,95257740.5828984,100376524.358305,89108058.0346232,88318135.0639129,115005266.565589,56216911.8985266,99876105.6265497,68584952.5226411,62918375.4346072,80966083.1208171,85129705.2520005,88890918.0260657,74673165.6763077,66043534.4426266,79450843.8218998,86902712.0536149
222.08874,0.746,263794.521105067,187841.402894271,83559.9407541457,277561.723247209,198278.2957459,212060.42694845,157568.822042468,135721.441415787,163548.118666918,148139.239664135,145387.41291786,130127.589577227,300269.376478901,188650.283508453,186939.907814419,188971.265497818,230503.578331905,174320.254316735,158549.728472324,153270.40973346,199559.597682515,164785.76567742,184778.335573571,157840.548427365
189.95801,0.878,23125481.3783824,21154094.0980719,12463140.8045684,2547478.44563494,4770657.84523333,6262445.67498666,3149158.30377767,11308621.7643386,8587301.47340238,7121889.1665374,11393520.3046734,10629336.3531625,34914232.8579462,19106867.4975218,24131147.9739555,12724389.6588475,12640815.3368115,14235519.9556529,10727449.3417403,6612951.52993946,2837074.4557653,7948222.89577999,9261567.82905593,6856793.67206275
408.2879,0.94,30942.1708718178,74010.080424891,298746.673797175,626919.93144783,316994.648638011,21346937.3974827,48208.359031799,31198.9811258747,27587.3687446548,16596.3640631093,19811.7938234345,16312.829257775,184228.797881123,428571.241731806,612160.504733931,1665485.50323612,4720518.74779372,9305986.42303823,33309.3187404606,27591.650712104,23695.2032589791,24781.3344470115,17397.9832331302,19624.5768721902
466.31184,0.618,456852.226954633,1542103.77113255,777401.901867898,828480.396945789,2533765.11052417,1312559.01940432,421621.777415028,997751.211444145,1649316.24606164,962279.173444086,1454415.97507741,399620.380232388,1870930.42672747,3179983.97970493,1621089.36826434,971836.357531753,665283.325992232,700554.926878545,1438746.93742799,1084495.10382538,1681685.0952101,939539.416753834,813760.139022992,1680082.45816198
122.03542,0.66,154438.576544608,136765.080043847,1916636.45333808,139803.591751503,104788.096209592,178895.160324763,137091.261433276,3126709.16550959,170957.091063246,122184.651628886,73369.692898031,141582.14571642,401211.009437153,414947.378764287,81051.3956270639,136839.789552749,429888.491665172,125965.785659354,110621.414573877,420327.595381561,20322.1143282832,441931.734768856,170737.071746028,212048.689693278
268.08091,4.286,2171397.11132349,2252914.62297622,2259206.29407537,4637046.02325394,2305268.31010141,5332635.33839532,3733656.57848073,2705405.79758054,7905709.51512345,2291106.70652931,3235912.84617054,2744518.30678004,1739086.43656743,2275353.34720317,2099050.35332286,3241449.47413891,4642188.89880231,3818870.63648855,3626263.62678861,4339683.90525401,5254993.39045745,4525078.70303159,3057986.48866094,2183874.27323234
