m/z meas.,RT [min],Area (Max.),Area: B6_1_ML_nonpolar_RPlipids_pos_01.raw (F1),Area: B6_2_ML_nonpolar_RPlipids_pos_01.raw (F2),Area: B6_3_ML_nonpolar_RPlipids_pos_01.raw (F3),Area: B6_4_ML_nonpolar_RPlipids_pos_01.raw (F4),Area: FVB_1_ML_nonpolar_RPlipids_pos_01.raw (F7),Area: FVB_2_ML_nonpolar_RPlipids_pos_01.raw (F8),Area: FVB_3_ML_nonpolar_RPlipids_pos_01.raw (F9),Area: FVB_4_ML_nonpolar_RPlipids_pos_01.raw (F10)
928.74786,9.689,12225353.9216728,8481371.31181912,9862576.91920478,4861328.75827141,6323077.39960224,12225353.9216728,7381901.43829293,9541520.08054645,7951754.16072924
930.76958,8.411,9804092.49529414,3100021.87540481,2907802.29694325,2255542.28648354,2525213.12179367,1560265.36294335,4004418.21300851,6142043.94334461,9804092.49529414
924.71886,9.505,22482402.9695827,22482402.9695827,22481793.4437442,11196054.3223646,12521899.8999417,10291201.6710155,19246147.6485033,10578640.0577859,16551215.9996824
926.73744,9.686,14685139.4503636,14685139.4503636,12926301.5632293,8732435.38926288,6235519.43745258,12867798.4012082,7258115.38323247,5678794.66448367,12719835.3627247
922.79524,10.266,5582906.79319539,3028273.78847841,3050383.06580946,5582906.79319539,2330596.63015385,1713888.63246939,2765335.20195334,3159942.80760636,1657869.27792587
902.73674,9.501,6940613971.69901,6940613971.69901,4966490427.34268,2574536629.51078,2546683953.31032,2950392100.96965,3915155369.63058,3260233378.49871,3676268319.19193
902.74053,8.331,15283590.8949534,3632922.97096863,10216668.7472566,2948068.00750647,8174418.2625322,5508997.41798986,8371707.32795601,15283590.8949534,9484947.95352087
904.75209,9.685,9221759.00053196,7009434.47803734,6966955.36432086,4790022.25342834,3836248.83709846,7236508.09235297,7101713.19140661,6164545.33924603,8044953.56152434
908.78312,9.849,943769584.745802,667420149.14852,943769584.745802,398298918.154518,459833319.198645,815278742.569092,422921897.891888,545453686.545081,679999493.753477
876.72025,9.28,106227812.367864,90356443.0510727,77892704.9080969,89550583.0388797,72533886.3627609,84463583.2298363,77908531.6483133,98042568.3395557,106227812.367864
876.71654,9.228,136668806.675259,108058376.34037,72889820.9402482,136668806.675259,1140177.09099358,126447432.161522,105757635.225361,108624969.79723,68173071.3079105
878.73599,9.451,9637263596.81871,8551679133.88549,9637263596.81871,6459436695.61812,6822778265.9511,6041590010.97646,7172002187.04084,8209392463.04616,9280048867.3655
880.75185,9.63,10844204095.6751,9593605677.93339,8941947850.17335,7884909084.29214,8303898512.50679,3902954006.34516,10844204095.6751,8307784646.07661,9792125555.52328
882.76756,9.82,10688327894.4391,10374347573.0518,10400440863.4239,7728245327.36504,8606759170.05715,8759795417.11633,10688327894.4391,10107233625.7799,9933955347.66624
854.73463,9.895,10764268.900255,9353106.89761483,7616068.80489996,9468551.10589201,10764268.900255,9493272.99169922,8956936.61131443,9882678.7082188,9664819.87939786
820.65898,7.691,2805715.87963596,2521617.94038986,2805715.87963596,1659807.19674954,1363151.703409,2659393.10154112,1826536.48457696,1685667.26981567,2037277.12664624
826.70537,9.363,3609102119.70868,2634883845.50541,3088769002.62037,3271424504.67077,3609102119.70868,1843775123.96008,2754920633.67839,3182868411.38796,3088667963.74804
806.64232,7.52,3325614.47897368,2709969.24036823,3106082.70398143,1815792.12182586,2045361.1753089,3325614.47897368,2419612.84981755,2379387.83812272,2486540.19112403
766.60816,6.902,65557786.7748682,54929977.7155596,52777359.6514238,65557786.7748682,48817887.290793,58628640.5806593,32670345.5741317,45731374.6611147,28464418.809737
427.36655,2.634,117174612.462204,90986229.1764789,117174612.462204,68172090.9761635,50026987.3810763,64372582.8630841,49173031.2054563,89702720.0330861,52576275.8664372
788.67684,7.432,136664064.638164,105691923.605404,80320605.6962586,122640490.256867,136664064.638164,79297259.3870364,123288227.529891,95053129.5003501,108692909.887027
874.69347,9.219,7626967.22353424,3822711.26742715,4627172.41717966,5126885.31767279,5941772.41602873,3629648.83396808,5071964.49245512,6021260.0090653,5281295.26141083
880.7389,9.339,116388978.050421,116388978.050421,108860105.37411,103462149.068969,93592362.6958068,55644760.5854387,99057284.4662207,11088549.2789747,90990009.9686554
842.7242,7.957,53873757.4405413,49361253.0595609,35050477.71188,49426269.6596907,49137404.4755736,41260614.8667641,48342694.4936016,53873757.4405413,35100948.2135855
826.69271,7.43,182352904.754084,145962126.418311,128799247.718833,155412335.189603,182352904.754084,114483846.185364,163312214.281412,160340136.256469,149122169.182689
828.70897,7.714,37163817.1414767,37163817.1414767,21806932.7543499,28955433.1514383,31056115.6198617,26799247.3303705,13133999.901815,26281319.3511558,11149929.9869796
828.70839,7.804,350094566.237674,339919737.640801,234805819.159085,275776946.26814,350094566.237674,297371736.055799,304130574.876515,251699558.735048,196978093.145781
814.69309,7.639,5607602071.76629,5607602071.76629,3861282524.93631,5078194624.86562,4945459342.37682,4467337931.71678,4667979243.70473,4886945439.71215,3729628101.83641
794.62819,7.113,5294580.67027066,4121514.71350905,3207139.51608395,3766200.51603049,5294580.67027066,2799799.09996579,4430111.31356615,3866760.83100585,3223666.68710347
798.66143,7.075,356699501.458229,255771606.289169,174628058.705276,344450589.040598,315165431.759924,356699501.458229,197298262.198214,228147529.293645,113425280.677475
784.64568,6.875,160608140.982756,133290236.813442,143183323.469212,118635135.246772,136909984.368826,156485021.024467,159634236.589028,155522157.720108,125769627.682283
784.6458,6.964,184070842.21428,180261114.730455,123050310.123862,161271245.572143,169610977.080483,144201927.647928,145380158.332357,184070842.21428,97883018.5791485
786.6617,7.375,397962974.132588,310436546.869696,203945298.390507,397962974.132588,334155605.07853,364933373.788177,215551155.969755,162331442.764999,66596749.2819713
786.66173,7.298,2054456738.33766,1991652478.39818,1402644762.40667,1738986197.18133,1694675763.78966,1675052336.63148,1563598093.52463,1962944200.68021,1656311975.77771
786.66184,7.245,325799144.286907,38042688.898625,7456586.83572599,166080675.272933,147071981.119357,16205368.4183378,325799144.286907,121061361.300425,203952561.358444
786.65953,8.779,3390833.95072224,895921.15182031,426100.980174074,3390833.95072224,3315282.93839674,1419394.74303725,342047.579044235,2333538.52190796,1878433.37277468
770.62958,7.393,3126722.1610835,2396928.92498149,1052316.03026012,1538074.50748698,2114295.12938405,1415962.04352874,2270062.26384883,3126722.1610835,1874304.93441427
772.64578,7.104,290680148.626967,290680148.626967,224736986.390215,261779105.394698,270938991.476103,210554197.609161,249407822.01742,254118568.47567,155115469.653986
758.63064,6.89,480252991.905169,419731619.01275,387798907.723692,429735303.797143,471205642.834128,379509696.021564,480252991.905169,445466811.865167,362176769.741366
744.61427,6.686,22295626.3993299,18796935.7404556,22295626.3993299,15980911.3863934,18315667.1129215,17396924.5229843,18944560.2382594,18930165.2512389,13891732.2535898
730.59922,6.414,419314763.958089,271935117.523082,354999268.410264,293157983.937294,286326458.473942,288370391.260336,419314763.958089,397532822.012638,388618904.080283
700.55151,5.325,80699454.8130666,80699454.8130666,63354386.2615925,73224519.4288055,55918630.9469889,75475135.0161149,69663013.6308603,73572349.4088149,47638407.4983556
688.55147,5.547,201602344.924939,201602344.924939,138059819.035037,142439303.268951,121216497.510195,182039965.876437,135342646.251123,140782173.387569,93211639.672409
674.53609,5.206,28781520.6465232,23892198.1615124,17531021.5307356,20336291.846624,20014905.3681154,28781520.6465232,19390631.0812286,21302938.1023078,15226482.2128273
987.26402,8.603,4797639.18855524,92541.3781916202,85807.8209005743,86391.5623985621,78123.4695027247,78729.7700882312,82937.7070690334,98354.0410966076,82279.6761234328
907.23135,7.474,336282967.088957,271950.062204672,275210.167300987,262566.22025647,289599.319113906,222489.32867323,294942.166676068,352491.392733913,242642.083396885
477.17084,4.956,5318690.25177321,179556.564726099,150919.972890186,123773.387651114,161537.68674974,119453.881206859,150857.051469844,174346.623156634,184646.220993614
524.45961,8.732,788352567.277582,788352567.277582,586074345.365671,654697677.828718,643537745.132148,710804228.69494,543706230.98459,653372599.117501,575037604.688909
282.19811,7.689,5114719.80082938,3650566.19906097,2989908.79711178,3475947.74494593,3567839.83288731,5114719.80082938,2892538.65772099,2683753.73535834,4206513.50349189
282.19824,6.958,5450549.27666686,5450549.27666686,4494801.13244951,5397858.11599725,4416095.06510893,4655878.77972593,3685554.95746745,4984508.44236793,4824200.50978294
