m/z meas.,RT [min],Area: B6_1_ML_polar_RP_neg_01.raw (F1),Area: B6_2_ML_polar_RP_neg_01.raw (F2),Area: B6_3_ML_polar_RP_neg_01.raw (F3),Area: B6_14_ML_polar_RP_neg_01.raw (F4),Area: B6_15_ML_polar_RP_neg_01.raw (F5),Area: B6_16_ML_polar_RP_neg_01.raw (F6),Area: B6_26_ML_polar_RP_neg_01.raw (F7),Area: B6_27_ML_polar_RP_neg_01.raw (F8),Area: B6_28_ML_polar_RP_neg_01.raw (F9),Area: B6_32_ML_polar_RP_neg_01.raw (F10),Area: B6_33_ML_polar_RP_neg_01.raw (F11),Area: B6_34_ML_polar_RP_neg_01.raw (F12),Area: FVB_4_ML_polar_RP_neg_01.raw (F14),Area: FVB_5_ML_polar_RP_neg_01.raw (F15),Area: FVB_6_ML_polar_RP_neg_01.raw (F16),Area: FVB_17_ML_polar_RP_neg_01.raw (F17),Area: FVB_18_ML_polar_RP_neg_01.raw (F18),Area: FVB_19_ML_polar_RP_neg_01.raw (F19),Area: FVB_29_ML_polar_RP_neg_01.raw (F20),Area: FVB_30_ML_polar_RP_neg_01.raw (F21),Area: FVB_31_ML_polar_RP_neg_01.raw (F22),Area: FVB_35_ML_polar_RP_neg_01.raw (F23),Area: FVB_36_ML_polar_RP_neg_01.raw (F24),Area: FVB_37_ML_polar_RP_neg_01.raw (F25)
197.03484,1.267,11968829.5353468,6413091.40815354,3636832.04780359,10865091.7394,9830957.96054412,3688998.52785407,17142274.3300506,18225151.1223227,13442991.9008588,20710596.0360978,7337981.03362679,10556462.7315744,5431079.06786743,9032731.90017018,4942566.4226239,7302073.69660503,20421079.5936353,16033462.5704935,13334453.5619673,10390459.5883656,11482765.4847056,14029254.9773771,15700688.2057779,23340730.0342796
197.0348,0.88,17132921.8229049,15679816.5277515,14084866.3350184,16716161.5532922,30726174.3682317,11407503.5702704,20905433.0896806,24001758.6785985,18744946.8873674,5410012.98595719,16344149.1837642,3289619.89468126,10521520.9009148,17056986.501087,14900590.5506371,26667356.1888379,16043795.2142773,6870916.47778291,13931127.1756394,19216688.7833249,15305398.4201594,15428195.522969,11423583.520595,18247370.3295561
153.05428,0.77,1831525.43906163,985027.594086341,679895.38113442,3380004.00946659,4755303.56318144,2586377.22604947,2914378.93726124,2876316.40345431,3332581.1922911,4288655.0804489,2539830.04427777,5171760.72807076,3905790.55315118,7931601.29792466,3149804.2333417,2243375.97661883,1713789.61980876,2031324.23604851,723234.910149624,4266566.25441699,8058783.38282113,2638266.93724016,4560500.19594481,2575009.54042072
346.23552,6.519,11696865.7034809,10845379.6171842,16219555.3393839,30869935.0703199,13303142.2475127,21686756.6706878,16361278.2636698,6008055.58500353,9129008.82394338,7166357.80256156,7486515.72875583,5826875.12356001,9183537.4082169,6539132.69079991,14828017.9838979,26224432.4926056,29926849.2735866,21281550.4432929,8905057.20739387,7076652.69219865,4891536.77431265,5381361.61902724,5183425.95165382,3010892.27917148
400.10193,0.8,38632253.6851743,40531654.0016013,64241519.5805398,33173926.7334985,70044647.1547674,59339169.4554752,72072003.6943156,107037278.709829,75549421.4091355,39918692.9601313,50181332.3073928,25240148.0772341,46560672.7557101,58941196.3288169,50535161.1526302,37494048.77938,16217216.1520159,13663845.0211675,71482104.6280461,66782133.3611441,64262916.4551362,55545242.913594,29047301.9047217,57123365.240497
224.06793,3.742,42014.5738441978,136389.849893754,149198.876984841,135077.6330635,153252.922023558,51403.1668194592,5192586.14779393,126662.543294134,56063.3648665795,152065.228878227,96590.4380323752,226022.773551126,190140.614169676,60318.9744474835,68547.3858794252,147652.603228204,105114.859919019,67601.9939386133,403879.182451054,653416.801102314,55063.5441306358,59586.5542372577,113149.235220739,166692.018546831
238.13135,3.546,1214497.14627299,954676.032468521,1300180.74830581,1610662.64201162,976121.428664904,1614024.6188478,8020957.37814042,6878844.20513106,5028485.25914774,4135658.82081637,4882223.01760483,3567686.1555874,1945039.25466047,818581.459268394,1399852.10820914,1399634.07405238,1008829.95526065,844284.403297536,3651038.90059787,9687633.91032119,2732065.24036655,2545752.35198183,3013297.12963119,4104805.75024525
202.11964,3.987,6497030.50675559,6471049.17195004,6352621.52456355,6583307.91616219,6233583.02406977,6841119.15415177,6245992.56567687,5893752.28549736,7016598.13130854,9668525.27556312,5539233.73757281,6509412.66190712,5905306.81725533,6510652.23896599,6052499.82785916,5985287.27242864,7081765.89794454,6331592.04293895,6889330.78294732,7231838.94930389,4818905.46653988,4350656.94105065,6459131.18070999,6048616.45979347
202.11967,3.245,8647288.06288666,8720505.2904727,8340587.20485976,8599221.80026602,8899552.36032598,10182454.8413268,10619450.5096032,11159182.4302447,9601819.79479015,8821756.62730117,9526746.78767472,8534760.00118943,7262264.58177486,6972908.18814781,8955303.51162265,8433281.73435346,7466582.58848063,6912356.30790864,9000905.0958255,10272101.7406303,9307651.71442174,9487562.3544121,11264241.3699638,10255814.5683111
202.11966,3.793,2173140.71529777,2326802.19270387,2231263.44810352,2204091.69550127,1736274.31485803,2499638.81369136,6511819.98198123,5029650.05507622,5588481.46546156,9668525.27556312,5539233.73757281,7771751.55981509,1708360.30465052,1327376.5960055,1983947.98630251,1934259.11400034,2845545.06511492,1771168.95640269,4887141.76765393,6198136.21122859,13385923.6919805,4350656.94105065,7117490.16667742,4389131.03529032
