m/z meas.,RT [min],Area (Max.),Area: B6_1_ML_nonpolar_RPlipids_neg_01.raw (F1),Area: B6_2_ML_nonpolar_RPlipids_neg_01.raw (F2),Area: B6_3_ML_nonpolar_RPlipids_neg_01.raw (F3),Area: B6_4_ML_nonpolar_RPlipids_neg_01.raw (F4),Area: FVB_1_ML_nonpolar_RPlipids_neg_01.raw (F7),Area: FVB_2_ML_nonpolar_RPlipids_neg_01.raw (F8),Area: FVB_3_ML_nonpolar_RPlipids_neg_01.raw (F9),Area: FVB_4_ML_nonpolar_RPlipids_neg_01.raw (F10)
781.56251,6.963,21773660.884989,21773660.884989,14480293.821616,14125381.4444804,17026291.225297,13153073.6356255,11860858.056056,12329159.4629785,8461297.64891039
741.53111,6.385,395078518.306215,254858447.318914,194308079.616271,249421243.809254,310081564.554048,395078518.306215,208721247.482338,247902375.819647,236736251.841389
743.54713,6.816,411549800.82934,411549800.82934,316173536.054224,361583435.222868,296146380.367011,267872683.84096,314018290.154807,385968656.936824,323718919.503582
745.56281,7.109,70283306.4773971,59008521.8188568,48692590.6115546,69687595.9108339,61596468.5398764,67812824.8373883,60678951.1835096,70283306.4773971,53430797.8721932
715.51536,6.344,328995402.150854,300573740.797521,228461824.403216,328995402.150854,318131042.432728,283013534.569474,252375891.678104,320878538.893602,253183554.541672
717.53122,6.693,95810345.5193761,50044758.762575,34196419.8689476,75579481.3551654,76874167.6820995,95810345.5193761,49002354.7467592,68296593.3932679,38797530.5602606
719.54715,7.074,7131985.50617406,5607438.20841958,5093793.3255075,6186824.1855253,5710254.43068569,3599903.05458234,5742455.32922116,7131985.50617406,5867436.1495376
282.25563,4.753,3872922.78009692,436770.820245762,1320634.68388824,1416212.98630863,3872922.78009692,932302.419427025,1654337.58022625,2328971.40171571,1145400.36601384
565.33769,0.945,213426947.824722,118428047.944479,88802536.0028121,124999452.305487,106185226.637934,213426947.824722,115405888.791216,123795993.861959,82594983.4716109
479.30121,1.389,15683362.2413937,9860118.56428714,7323887.30106554,15216960.0077168,14495321.6439118,15683362.2413937,11820066.7311957,14481781.779593,11100644.0985491
481.31677,2.111,44565823.9524621,34542543.109174,28219712.381531,37135423.6616951,29302508.5810684,26040782.1115397,34706716.7639629,44565823.9524621,31658695.4396326
647.62157,8.153,494076232.921273,429464450.731034,376030448.324896,494076232.921273,460481936.864515,398956892.269579,223114413.145717,470293607.223774,390194724.963924
669.62815,8.324,13197012.4856514,10081511.0048027,6710467.51713881,13197012.4856514,11161212.2880662,4002150.10070175,7401870.2543762,11461140.4778631,8481957.13658078
501.28557,0.963,43651346.2967935,43651346.2967935,13872616.2954947,30649115.4703385,31685071.0521144,32462916.194554,25343898.3920166,31938268.1736874,25230730.1252718
313.10232,0.497,3045682.47566227,1542952.19944623,1582023.09621857,1343623.76143611,1435362.75051899,3045682.47566227,2326323.67902435,2745246.09414457,1427235.40860036
699.63742,8.15,2637992.08584716,2378268.86536466,1763812.18440356,2105563.79983757,1822869.50247869,2637992.08584716,1619196.2904557,2244660.86914926,1474436.1182149
562.23473,7.299,18290393.400706,14428650.9284854,14920597.4821178,14950709.5962386,12004246.3056165,17616889.2966853,11983295.0815015,11676272.5938883,9110325.60995082
576.36427,7.309,8359308.79035926,6000939.61461529,7491812.36404468,5929802.26124075,6775808.12730648,7911368.90332433,6016566.59049619,5355468.52681325,6459703.83968691
683.6438,8.468,8849072.64005011,7440164.61220258,3770433.99523958,8289765.59024397,7495159.80627472,4003995.91965895,5583820.66330083,8849072.64005011,4081419.47702517
613.56472,7.648,4256427.25796246,2448910.97765791,2719547.9003886,2920120.71595254,3235431.1754586,761507.298440822,2695336.18357494,4256427.25796246,2420123.56839666
767.57449,8.016,5386825.57451798,4930040.70073505,5099865.83484147,5052944.71787286,5386825.57451798,4654303.73614834,4001968.49721366,5301735.65673927,4064352.64162028
731.54726,6.897,6214087.02655053,4121028.37953736,3077810.19921595,6214087.02655053,5487405.61545166,5841248.57029013,4293544.8995682,5434621.24308322,2981572.74572122
906.20012,7.151,5419853.96399559,17547.8667106573,14344.5961086786,16568.33045808,18269.0990470185,15201.0350691906,15229.0991727309,15829.8611990431,14626.4374669346
791.54663,6.086,6255953.67024174,5237069.88286922,3868564.98746899,5416030.92263935,5135402.81135406,2453171.94382853,4546544.75192161,6255953.67024174,4648531.29642815
699.52042,6.608,6293645.15252087,2796348.3468823,2189629.81365396,2402475.38826319,2611534.44246193,6293645.15252087,2223282.57991311,2767447.16871928,2139908.79498586
519.35817,7.313,5309838.85387622,3736656.31571125,2007251.48998828,5309838.85387622,4213814.36873129,4177490.16877793,3851055.49981207,3540793.54425529,3423302.3512271
765.59001,6.757,5276839.41220118,3766068.58156469,2937948.21778787,3809236.47049911,3893958.5267597,5276839.41220118,3834434.02993661,4334225.73750142,3512296.68164797
699.63046,8.606,6210331.12655007,4974683.48509585,4476758.45632335,4185566.75095745,6080844.94478379,4076044.8672308,5996213.23020374,6210331.12655007,3252483.51548237
662.5127,7.304,5736493.35798052,3264246.06758679,4131599.27209662,3244386.37548278,5736493.35798052,2738802.75467478,3890642.90944759,3886066.41548959,3130648.79096167
854.57695,5.697,6176300.81465154,6071084.25344858,4847506.73786123,5626175.88322091,5277291.83086613,6176300.81465154,5953079.2853064,4791308.0693056,4920225.47750293
872.69888,7.44,5729607.04396529,4441626.67607047,5297635.40056121,3358368.85079414,5358169.53698193,4695784.08838632,3258222.81824966,5439727.46816465,4769739.02270375
761.61505,8.146,5827063.48492768,5435954.66429739,4872389.89544404,5827063.48492768,4490607.6340654,4821260.51845575,5109976.99586481,5240029.25273731,5327897.27450485
811.63684,8.608,6102216.14487787,4495540.43519271,3295687.29681438,6102216.14487787,4835595.02993404,2486252.52119876,3697298.30325026,5390643.1552398,4204704.57359573
882.61824,6.583,6932592.79823436,6342746.13888593,5608219.48539612,6932592.79823436,6846362.67443074,5474351.80831813,5784029.34443654,6614940.57328087,5352103.30270127
520.35424,7.306,8693563.69846842,7576137.78846512,5019815.78961492,5932890.46956812,7178061.44833886,8693563.69846842,3697446.17613233,4932695.30076688,6184761.70918346
801.63386,7.151,6036470.35532052,5409847.43751552,6036470.35532052,5249582.46018128,4978019.36662745,5252475.72848029,4805309.63200771,5390919.15166871,4278108.38402454
619.48451,5.016,5638398.53232282,2932075.60745149,1191847.1273863,2223546.41560793,1296624.86447179,5638398.53232282,1744132.74802961,2019313.68722993,1772456.15558423
474.34884,7.299,6252784.21042453,5750393.64277758,5019815.78961492,5932890.46956812,5525754.99711773,6252784.21042453,3697446.17613233,4932695.30076688,4547036.13246549
729.52376,7.415,8158046.24692873,5695516.73194761,8158046.24692873,6600267.6847216,6132150.75087136,4030895.27468152,4919247.58134732,5919589.63186286,4990159.76171639
806.58674,6.393,209755436.383822,5918575.46921644,82801.7672881305,463120.475684979,209755436.383822,197223213.740196,424523.050659473,993898.161263973,6574729.88042596
689.59615,7.586,5915544.55212942,4026916.83681914,4234978.20480823,4632910.49665103,5915544.55212942,5704830.81606165,4529580.73881931,5247289.1663349,3838999.91203905
719.62423,8.149,5701322.80225316,4616667.53818172,4576512.56251835,5701322.80225316,5141508.1083111,4893680.36220309,4427593.88228591,5225603.63167455,4667224.0724331
822.54146,5.582,5849168.32834616,2969361.67743406,988756.490891876,4504095.08694571,3582059.6747207,5849168.32834616,2236678.45606561,4304468.01579433,1894143.19806257
